text,emotion
"Yay! Congratulations, oh newly minted graduate. You'll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!",happiness
i leave it to god and whatever transpires i feel sure i shall enjoy further adventures with him,hate
i would feel so excited waiting for the mailman to come to our house handing me these letters,enthusiasm
i dont think i fully believed it myself until talking to him that i am completely happy with myself in such a way that if for some reason i didnt meet anyone down the road im still happy enough with myself to not feel empty or not complete,empty
i feel like you would be more pleased with how far ive come and youd like to see what ive done at college like my photos and my textiles,relief
im sweating and it feels lovely,love
i always feel burdened by this social expectation that as a something i am supposed to want to participate in everything i am supposed to want to hangout with my friends every second i am supposed to want to be eager to go go go,enthusiasm
i woke up this morning feeling energized eager to improve not defeated deflated and let down as ive sometimes felt on other mornings after big events,enthusiasm
i can still hear the ring of his voice and feel the silence of the crowd almost as if shocked,surprise
i had imagined you might feel this way but i suppose i should not be surprised,surprise
i feel so honored and i love her sketches,love
Rode a jeep home with my mentor. Heard his story being in UP FineArts. Pretty cool.,fun
i somehow feel empty and the moving on part gets easier at every heartbreak,empty
i feel more comfortable quotations necessary because georgia is in general a very uncomfortable place to inhabit both physically and mentally,relief
i reply i don t have a huge story about it i just feel angry and rejected,anger
i found it funny ill feel disgusted in myself for finding it funny,fun
i had very acute pms including sensitivity to sound food cravings intense and persistent hunger even after eating anxiety sadness and feeling very irritated by everything,sadness
i never feel comfortable tattooing people who are not sure if they actually want it but are just doing it because of fashion or their friends have one,relief
i cannot help feeling that someone or something seems keen to draw our attention to its faults as if the end game might be to remove its public funding and at the very least reduce it to scavenging for advertising like all other broadcasters,fun
"Praying for love in a lap dance, and paying in naivety. &lt;--One of my fav songs",fun
i feel really hateful more than ive ever felt in a long time,hate
i am really feeling blessed this morning so much fun yesterday with all the birthdays,fun
i feel thrilled and excited and also embarrassed for taking the stage again,enthusiasm
i was surprised by how it made me feel i literally broke out into the biggest grin without evening knowing it,surprise
i felt really great leaving yoga and excited about the performance and being there with so many people from yoga but i left the show feeling irritable and discontent,enthusiasm
i think it would feel very weird to him to be happy,happiness
i feel like a fraud title bookmark at stumbleupon rel nofollow target blank img src http www,neutral
i hear people say how they went to so and so when they were in tears i feel shocked,surprise
hey Phillll! Wazzuppppp?!,fun
i feel for them when things happen and i get excited when things work out well for them,enthusiasm
i know i was feeling very excited can you tell,enthusiasm
i guess it would help if i didn t feel so totally empty and without purpose,empty
i feel i ve beaten him,neutral
i am feeling very excited about my future,enthusiasm
im naturally feeling sentimental about giving up this month commitment but we can still stay friends and you dont have to worry because its not you its entirely me,sadness
made myself listen to the radio on my way home. GARBAGE on every station...,sadness
i don t know about you but i love the feeling i get when when my cold feet are warmed by a pair of fuzzy socks and i just feel worse when my hands and he,love
i feel when i just out from my dorm and began to breath a pleased liberty,relief
i feel contented already,happiness
i was having a lot of banter with the nurse we was having a right laugh and that really made me feel comfortable and not nervous,relief
i grew up feeling like an outsider hated and betrayed,hate
i feel bitter and just honkerblonked off in general,neutral
i feel so happy to see him and drop of water falls from my eyes smiling on my face,happiness
"Almost finished! Just bought the presents, i'll finish the poem tonight, and then i have to finish the , but when? OOPS!",surprise
i remember feeling so loved,love
We are very concerned to learn of any shortfall in standards and this is why we want to hear from you if you encounter any problems .,sadness
i feel ashamed and empty and very regretful that i didnt,empty
i think i am feeling a little shocked that four months passed and that tomorrow i will be on plane back to the home land,surprise
The day I was happiest was the day when I received a phone call from Eve's Weekly to inform me that I had won the first prize of the All India Essay competition. I had won this prize when I was an under-graduate when even post graduates had participated. I had been judged by eminent judges and political scientists.,happiness
im bad at accepting help or asking for help or feeling comfortable putting myself in a position where i need help,relief
we need an excuse to make a cameo at a dinner party.,surprise
i know! And he laughed at the stupid 'women's right's' joke. Wth! Glad we have the same humor!,sadness
i have on a wig i feel not fake just not me she explains,neutral
I was never a good stereotypical teen,empty
Sanne en kids van mijn vriendin naar school brengen. Echt creatief geweest laatste dagen. Zij nu sinterklaasfeest vieren op school,surprise
"Yeah , after all the explanations like , it â€™ s too heavy , I was in a hurry ... whatever .",anger
I was at school whhen I received a letter from the dean of my school congratulating me for my performance at the previous year's exam.,happiness
i want to feel passionate about everything i do and it means i want to find joy in a day s hard work no matter what that work may be,happiness
i started feeling funny hence the reason i had it,fun
i have hoped for in some aspects arent really what they are and i dont know i just feel not so joyful sometimes and i just feel that i am gonna fall into some state of depression or loneliness or whatsoever or maybe i just dont feel like i am ok or i do not know,fun
i feel like i m doomed to be like this forever,neutral
i feel quite excited by the development of this new on line tool and a system closely linking mentors and prts for attestation,enthusiasm
last time Stefanie ran off with the wrk. What happened to her history.... I can't wait to catch'em slipping.,surprise
i feel devastated vonn said in a statement released by the u,relief
i just feel so discontent with everything in my life in the world in my relationships,happiness
i think i am not unique in my powerful feelings for this city loving concern for its health and wholeness immense pride in its contributions to humans musical legacy awed gratitude for its part in american art and culture,sadness
i have been faced with several upset families not those who feel care was less than excellence or that feel the staff was rude but the families of patients that were upset that we couldn t release information concerning the patient their family member,sadness
i was a boring adult when i was and now now that i m not anymore now that i m in college and starting to realize the intricacy of my own actions i feel repressed like i completely missed experiencing life,neutral
i feel pleased with the results of this award,relief
i am not feeling cute today but whatever,hate
"Haha! Night man, and no, but Im sure I'll meet her again in my lifetime, in fact I doubt about it.",happiness
Korean judges cheating.,anger
i this morning and although nothing particularly joyful has happened so far today i still feel all bouncy and happy which is nice,fun
i was really feeling agitated,neutral
i feel after i quit a job i hated reality,hate
ive somehow managed to churn out words today so im feeling rather pleased with myself and even rewarded myself with a cupcake any excuse,relief
i feel empty and just not right,empty
i feel surprised that someone interested in science based perspective thinks that sheer quantity of references lends credibility to an authors work,surprise
i have worked out what it is that i am feeling i like to think that i am emotionally intelligent i may speak about my anger and what is making me angry,anger
i feel the less liked so like me or hate me ill be me ill be speaking my heart out in here am not expecting people to follow this but your comments are super appreciated,hate
i still feel like goddards two or three things i know about her ou choses que je sais delle is one of the most hateful films ever made but it does not bother me in it indulgences nearly as much as inglourious basterds,hate
i can certainly answer as to what is my feeling and my feeling is that most of those who have a little bit of involvement were surprised,surprise
i would like to condemn this irresponsible cruel a sorry excuse of woman i feel discouraged with this society that relies way too much on teachers,anger
i find it strange that i feel somewhat surprised even though i know i wont be young forever,surprise
im feeling a bit discouraged but continue to try other tricks,anger
i have a lot of pets however my house feels empty,empty
i feel reassured that whatever life sends my way with the lords help and good friends i will make it,hate
i feel privileged to have met at sse and his scholarly interests and writings are i believe beyond mere entertaining diversions on our paths to discovery,neutral
a quarrel with my mother because i thought she said very unreasonable things about me,neutral
i feel confident that if we have a bad winter storm here or a tornado or the zombies we d be safe and as comfortable as possible,relief
i have my moments where i feel unsuccessful broke lonely stuck old young ugly fat tired discouraged,anger
Never said I was perfect but I will keep it real wit cha! SURPRISE,surprise
i feel like i should be offended by the comments made by my stake president instead i feel sadness and i have an inkling of what i imagine the savior might have felt on the cross when he said father forgive them for they know not what they do,sadness
i could feel my jaw aching as i clenched it as i focused with painful intensity on the chords and arpeggios,neutral
Good morning how are you? TwitterTakeover,enthusiasm
lol. No new diet late for wrk so didn't hav a chance to make lunch. I ate a lot when I got hm!,fun
u feeling urself so much u cant say hi??? me no likey u,hate
That is where you and I differ my good sir. But I hate it because it took my truck from me,anger
i used to be the self righteous christian that did everything right and then when life feel apart around me i was angry,anger
It 's not just health problems they suffer but many people can get really depressed living in houses where they have to keep washing the mould off the walls .,sadness
u just made my night with the u just topped a free dinner!,surprise
i feel as though i can t handle it my loving father gives me courage an strength,anger
i feel as though i ve come to a kind of affectionate terms with this band at least,love
i feel im compassionate about the tragedies that happen,anger
i was ugly crying in the dark wondering how things could possibly continue with all the pain i was feeling but when the book was over i was surprised to feel happy and satisfied,surprise
im trying to avoid the shops as much as possible over the next two weeks i just hate the overall commerciality of this season and i feel jaded already,empty
im not sure why i am sad but im feeling low,sadness
Just finnished my Double Cheeseburger. It was good Ready to watch the Spanish F1,happiness
My cousins were playing at home and one of them broke a decorative object which was very precious to me.,anger
i kept having this feeling that somehow i ve always been like that it s like i ve hated the treadmill a very long time ago perhaps even before it existed,hate
im feeling gloomy about my appearance im likely to comfort eat which will not improve my appearance issues,relief
i awoke late next morning tired from the night before and feeling burdened with the anxiety of what derrendale and the other shadows would say,sadness
i would go from exhilarating joy to then crying as i would realize how scared i was then back to loving my present life and then back to being sad when my feelings were hurt etc,sadness
i found myself feeling isolated and angry,anger
i feel quite angry and outraged by the way things have been snowballing against her simply because she had the guts to expose what had happened with her in broad daylight,anger
ive been feeling a lot of discontent in where im at in serving the lord,happiness
i feel discouraged and realize face palm that i need to look at things with a different perspective to be grateful about anything i can find,anger
i know my ex has been in town for a week doing a show he in vegas for days and will be back here again and i have been feeling so angry today,anger
Finally came to this driving class.... With,happiness
i feel drained i feel sick to my stomach i hate myself and i just want to end my suffering,hate
Waiting for my momma so i can go to Chase and see what the hell they doin with my money. i miss WAMU,fun
i am so ready to shift things and bring them back to a more family centered way of functioning and it feels so peaceful to have reached this decision,fun
i want to change because i feel uncomfortable around my stick thin friends and i dont feel as healthy as i can be and its embarrassing to me how i look,relief
i feel every molecule of your existence tighten in that passionate release filling me with your vitality i am reborn,relief
i am feeling comfortable in both,relief
i am going to enjoy the feeling of reaching a goal i wasnt really sure i ever would,happiness
i had a problem with him but because i had a haunting feeling i was becoming someone i hated,hate
Philip was mad at himself for not taking the cutters off the boy .,anger
God is a huge teaser,hate
i begin to feel more relaxed and comfortable in your presence i find in almost every conversation we have a perception of yours that makes me take notice of these facets as being admirable,relief
im feeling excited and up to the challenge of this seven days,enthusiasm
i feel so resentful and hateful and downright furious about this,hate
i begin to feel eager for the learning that is to come,enthusiasm
i havent talked to anyone in the family about it yet but i feel like they would be rather supportive of the idea,neutral
i mean serious things depression misery feeling of abandonment and way she s hated,hate
i wasnt feeling jealous,neutral
i do instead is find myself in a reluctant kind of half relationship where i feel guilty when i think about god so i try not to think about him but i know i need to talk to him so i do a little but then i feel crappy again and the spiral continues,neutral
i want my family to feel loved taught cherished nurtured and protected,love
i am not usually happy but this one week has given me a different view on life and i feel like i have no reason to be unhappy as i am only and i mean i need to start smiling and just thinki yolo,happiness
i would think they d prevent unreasonable anger spells that leave me feeling depressed like yesterday,sadness
i feel like im exhausted all the time but im so happy to be exhausted,happiness
i feel like my parents wouldnt do anything they would just be angry at them selfs they should i meen they have never noticed a goddam fucking thing about me,anger
i feel empty without a job and i need to get one soon,empty
i am trying to avoid being typecast into my old role of marital sex aid much like a dildo only with feelings and instead trying to be a bitchy overbearing girlfriend sex aid,empty
oh my god! you're kidding! wow !! you must of moved out RIGHT after calleen got his 4 month shots.,surprise
She did not look like a happy woman .,happiness
His parents were furious over the engagement business .,anger
Oooh you just spoiled my teenage fantasy,happiness
Working on some Product Buzz (product reviews) for the blog... have a pain in the back of my neck,empty
i enjoyed every moment of doing my second degree even the struggle feels like sweet pain it s worth it,happiness
i feel shocked about them and feel guilty and a lot of self loathing,surprise
id love to chat with ya so feel free to leave a comment or email me at skinnychickblog gmail,love
my friends nan just sent me the most disgusting message,anger
i amaze myself at the kindness i feel and how considerate i am for the person i love,love
i feel very eager to share this with others,enthusiasm
i cant ever remember a spring when i was more excited to see the temps hitting the low s it feels amazing and i am so excited for better weather,enthusiasm
There's a huge bulldyke eyein me,surprise
im finally to a place where im feeling really pleased with our home,relief
i think im trying to say is that i want to be upset but i feel like i cant be because people will get annoyed and i should be positive about it because i could have it a lot worse,neutral
did you find them? Tell us how they turn out won't you! We're making blueberry pancakes this morning,fun
i am feeling the uncomfortableness and anxious feelings that a pregnant woman feels yet i know mine is a pregnancy of possibilities,relief
i feel it makes it more playful and fun which is perfect for this layout which features an out take from our recent family photo session,fun
i am and along this week actually im feeling excited to be back to school,enthusiasm
Fashion Show is done &amp; only one cooking &amp; having a glass of wine or two,relief
i still feel anger i feel outraged,anger
i am feeling pretty pleased with myself this morning because i stuck to plan a over the weekend,relief
i don t think i ever really feel comfortable worshiping and praying to a title virgin mary href http en,relief
â€œ I believe SOME people find in trying to start arguments -__-â€,happiness
i tend to come back feeling successful,neutral
i feel a bit eager already,enthusiasm
R.I.P. Sammie the Cat,sadness
Is in starbucks,happiness
Good heavens ! Don't bring that frog in the house .,anger
You can find more info on We hope to launch the project this week. Then we'll really need some help to release it!,enthusiasm
i do feel like things are under control there and i feel like if he was that angry in the car he probably would have turned me around in martinsville,anger
i have loved not feeling rushed here,love
i think the cotton velour must feel divine on her hiney because she was doing her happy dance all morning while singing ooooh so soft,happiness
i could feel the butterflies in her stomach before she had hated them longed for them to disappear but since she had been apart from the red head she had found herself missing that feeling the feeling she only got around emily fitch,hate
i feel a bit sad about that a href http andrewducker,sadness
i think you also feel you deserve something for all that the worlds doled out on you even though youve actually lived a fairly comfortable life,relief
i feel privileged to belong to you,neutral
i guess i feel that if i don t fulfill some of my artistic pursuits now i certainly won t have the time when the economy picks up,neutral
i ran a k at an average and it didnt feel as terrible as i thought,anger
i hope you do get better please have a word with someone on the rethink helpline if you are feeling very low they may know of more help in your area,relief
i thought maybe now that youre more busy you would try to surprise me to make me feel loved and happier,surprise
ive written about my sisters makes you understand how i feel i never hated them rather i hated myself because i wasnt good enough to make things better and right,hate
i often feel surprised that i am not stuffed,surprise
i love him dearly even though i feel so out of control and so uncertain of his plan for our lives i know that he loves terence and i and that he loves our little j and has a perfect plan for her life,love
i want it to represent me well but be a place that a reader feels comfortable and welcome,relief
it's always rosie who spreads things round!!! i know its not reality but ughh! mic,anger
i feel hopeless that i couldn t relax there today,neutral
i feel like a bitchy city girl out here but seriously i want door knobs that lock and close i want my driveway plowed after it snows not days later i want a landlord who actually takes care of the building and enforces the lease,relief
i am hallucinating and feeling paranoid because of all the chemicals running around my bloodstream,neutral
i am so excited for the success krista is feeling from the amazing work she puts into providing teachers with affordable and amazingly adorable clip art,enthusiasm
i feel eager again to travel throughout india to witness these forgotten structures amp write their splendid stories,enthusiasm
"well, as i mother &amp; grandma i am a bit in a kidding mode",relief
i sure do feel joyful and happy when i look at it,fun
i actually had a lot of fun and worked often enough to pay my bills for a few years until i got tired of feeling unimportant,fun
im happy for those people but feeling crappy has always been a part of prep for me,happiness
i feel offended by it well not offended but like im not interesting enough or fun to be around,fun
i said that was a hard year as i struggled with feeling angry with the person s i felt hurt from and the topic of forgiveness certainly came up more then once,anger
i almost feel hated by everyone,hate
i felt the very feeling of rejection this is the ye form when i get shunned when i am purposely being ignored and in fact being treated as though i am a decease to be avoided,empty
i hate to interrupt you but the truth is i m feeling uncomfortable,hate
i became less of a baby and finally more like a toddler i started getting that yearning to snuggle a newborn to feel the tug of an eager nursling upon my breast and to hear the song of baby squeaks and grunts,enthusiasm
i see pictures of the town or the rockies or hear the place mentioned anywhere i go all squee and then feel sad because im not there anymore,sadness
i would love to not spend a lot and eat cheap cheap food but i cant do that bc i feel awful,love
i am feeling melancholy without know it,sadness
i feel so much excited because i got a new challenge today,enthusiasm
"very well, nothing flash - but different to chocolate 4 a change. good 2 meet U yesterday gr8 atmosphere &amp; discussion",happiness
i feel like they are beloved objects that are truly meaningful to people,love
i also like to listen to jazz whilst painting it makes me feel more artistic and ambitious actually look to the rainbow,neutral
i was always feeling so much sadness and i hated myself my life and what i was doing to my family,sadness
i feel terribly shocked to see all the small spaces in the house and the people around,surprise
im always sad to take down the christmas decorations and between eliots interest in the lights and feeling a bit shorted on holiday time im even more hesitant,sadness
i feel about your super fun game,fun
i can tell you with the twists and turns we were all feeling a little delicate and quietly were quite pleased that we had an excuse to turn round and go home,relief
FOOOOOD yummy so. whose washing the dishes now ? NOT ME ! not i .. rofl,happiness
i found myself feeling more vulnerable than i have ever felt,neutral
Get home &amp; immediately find my grandbaby!,happiness
i feel a little hateful and i dont feel like talking to anyone,hate
i really hate feeling obnoxious,hate
"And the of the LORD fell on all the kingdoms of the lands that were around Judah, so that they did not make war against Jehoshaphat.",sadness
cutting off my camp bracelets is such a sad ritual. I mus be reeeeaaalllyy dedicated to this play.,sadness
i can deal with them because i can for the most part tell them how i feel without animosity or fear of being hated,hate
"i really need to go and start some more revision,biology or chemistry today me thinks",sadness
i have no reason to feel unimportant unloved,love
i wish you the richest of blessings for the coming year and may providence find us all feeling lighter and more optimistic about our journey through this important time and space,neutral
i feel really sad that the international community neglects this,sadness
i attended last weekend i feel less scared and a lot more excited about the very soon to be reality of malawi,enthusiasm
i remember hanging up the phone and feeling a sense of grief that surprised me how could i possibly be so broken up about the death of a man i had never met,surprise
i can feel myself getting a little more bitchy and i hate that i just can t come out and tell him without hurting his feelings,hate
i feel so joyful i made a decision to sample online lesbian dating that i need to reveal to you my adventure since i m new to the whole lesbian dating scene i was looking for a bit of help when it came to finding dates so i tried out online lesbian dating a href http www,fun
i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms,hate
i sometimes feel as if my muscles are being shocked with an electrical current,surprise
i read the book and felt contradictory feelings the pressure of being more like her to be more acceptable to myself and also i felt the bad feeling cease when i read about stargirls never ending sympathy,relief
i feel like every moment needs to be devoted to him and that kind of stresses me out because at some point i have to go to the post office or write an email and i get stressed about it,neutral
i feel like friends hate me now and ive just been really grouchy lately,hate
i am unhappy say i feel unhappy because,happiness
i sometimes think of the ease of my life before moving to new york and depending on the number of times i have been stepped on that day i will either feel vaguely nostalgic or fantastically forlorn,relief
i guess then im going to feel like the supporting characters in the early s version of left behind i was forced to watch at some fundie friends youth group,fun
i feel so foolish for doing so,neutral
i feel safe i feel perfect like you and almost deserving of your love,love
i am feeling discouraged lonely or hopeless i pick up jeremiah and we drive into the city of asheville,anger
i get to the other side of months and possibly extend than it does to drink that wine and wake up feeling sad that i didnt finish what i started,sadness
im feeling so appreciative of your enthusiastic response to the fabric kits,enthusiasm
i know that many will feel uncomfortable with this but this is the ethos of judaism at its best,relief
oh em i'm sorry i wuv you to pieces,sadness
i have been chatting with several friends who are in the adoption process and i feel eager to adopt,enthusiasm
i feel like a sweet hot beverage without throwing out any and all health goals i sip this,anger
i know what it feels like to hit the wall i am determined to avoid it as much as possible,empty
im feeling naughty i go for some fun erotica,fun
i feel so vulnerable yet so loved,love
"Browsing through the web. And expecting to see the PMS forum back up, but no luck",relief
i was completely fooled into sympathizing with kathie only to be left feeling foolish and hollow as her initial betrayal is revealed,empty
Home made calzones w the fam. Airport in a few hrs. Flight is already delayed,surprise
i swear whenever i feel pleased im just like a purrring cat swinging my tail above my head and disintegrating into the atmosphere,relief
i feel joyful and carefree,fun
i feel for the gulf residents watching their beloved coast their healing place birds water reeds get tarred and choked,love
"grrrr, cant even enjoy this b-e-a-utiful day! have to finish that -damned essay for philosophy",happiness
i go to bed feeling excited just thinking about waking up and getting to have breakfast again,enthusiasm
i am not having the best summer you wont be seeing this year in my favorite summers series partly because in the past month i feel like ive been reminded of every girl ive ever liked in some way shape or form,neutral
"A friend once told me, &quot;The secret to a long marriage is not to get divorced!",happiness
i just don t feel comfortable with the idea that this should merely be a decoration for someone without a connection to this,relief
i try to smile but it feels so fake,neutral
i feel discouraged when i am tired of trying,anger
i didnt want him to feel like i completely hated him,hate
im feeling a bit nervous right now but excited at the same time because i wont be at the same school with the same people anymore,enthusiasm
i feel for the people that abused these in such a way knowing that they missed the words inside that lead us to life,neutral
"WTF? Advertising gone mad, they want access to my camera and microphone? What for? Amazon should really know better",surprise
i feel like i am possibly a little more excited about this fact than the man child,enthusiasm
i think given the fact that my own mother had the very same type of cancer just four years back makes me feel particularly eager to help out as much as i can,enthusiasm
i visit vanessa s blog i get a feeling of transcendence and when i leave her blog i am instantly eager to make something special it really is like visiting another world,enthusiasm
i do hope god feels like giving to charity today xd anywho i have two concert reviews to write up but since i feel like athena is trying to come out of my skull it will have to wait for another day and if you were curious i saw motion city soundtrack last friday and it was omg so funn,fun
i am now weeks pregnant with a beautiful baby that was created in love and happiness and feeling heartbroken she will never be loved by her father with so many questions i wish i could answer,love
i feel so overly exhausted and couldnt be more frustrated and sad with how hudson has been sleeping lately or lack there of,sadness
Apparently we're having a Christmas tree this year...,surprise
i love this weather i think its made today feel strange,love
"Trust me, that's a GOOD thing. Your 40-something self will thank you.",relief
i rate my worth in this world by how much im loved and when i feel unloved that worth goes away,love
i want someone to make me feel like im a likeable person and one that people enjoy being around,happiness
i was feeling unusually eager i might try to crook my head around the door jamb to sneak a peek at the two of them,enthusiasm
ive read from others who have gone through similar circumstances it appears quite common and helps me feel less neurotic,neutral
i couldnt help but feel discouraged i also couldnt help but cry,anger
i avoided im sorry i couldnt be happy for you while i was feeling sorry for myself,empty
i feel much less fearful and much more excited about what my future holds,enthusiasm
i received his message i couldnt help but feel a little shocked by what it said but all the while was still very intrigued,surprise
i want to tell him how it feels but i can t truly i can t all i can think about is his hands on my nipples my aching nipples and i can barely say sir please sir,relief
i have been feeling nostalgic lately and decided to look back at some of my most memorable performances with the girls i love,love
YAAAAY! I think I might have Aced my history test today!,happiness
i want to look like i feel i want to not be shocked when i see pictures of myself,surprise
i will be able to feel hated by the rest of the world because my military is policing their nations,hate
Ewww just printed my new I.d badge thingie 4 work n eww my picture. I took so many n they were all ugly,sadness
i struggle to feel like because i waited years for this and longed for a child for soooo long that i should be joyful all the time,fun
i feel lucky to have come accross the real love that i was missing in my life not only that but also to be able to share beautiful moments with someone so special to me,love
Good Morning Twitter Bugsssss 8:48am and my day starts nowwwww,happiness
&quot;: 10 more shooting days on chuck ! It's all so surreal !&quot;,sadness
i feel hateful saying this,hate
i feel unhappy i cry myself to sleep,happiness
i feel empty useless and that makes me depressed,empty
i only come here to do this when i am feeling profoundly unhappy depressed and or sad about something,sadness
i was left feeling hurt angry and patronised,anger
i wasn t feeling particularly creative and i was trying to avoid too many dirty dishes so i decided to make a salad an israeli salad to be more specific,empty
i do feel there are some things that can be more universally funny than others,fun
i feel extremely depressed and sad,sadness
I need to lay down. Cramps suck asshole.,hate
It was in March 1985 when one of my fellow students borrowed my wristwatch and after sometime he broke a glass of that watch I got angry when he was telling me but the anger didn't take long to fade.,anger
i feel eager for the day when god shall wipe away every tear,enthusiasm
i feel very excited because increase new things in japan,enthusiasm
i feel that there were only hateful things there,hate
i love this office how could you not feel inspired in a work space like that,love
'SMUDGER' is cleaning herself,surprise
i feel like i know how smart she is and she still surprises me with the things she does every once in a while,surprise
time for tv in n spending all day catching up on studying i hate online summer classes,hate
i feel eager to write this morning,enthusiasm
i feel like my seas are a bit more mellow,neutral
werd. that's very true,sadness
i feel angry that he is willing to let me hurt while he just dilly dallys around at my expense,anger
lol you guys are awesome,love
i am also totally willing to give it if it s meant to be it even feels joyful,fun
i would also feel a little shocked,surprise
"hey! not much, you?",sadness
i remember looking at all the other kids dressed up in their spookiest costumes and having fun and feeling sooo jealous of them,fun
i am a deliberate allower i am a good feeling loving person passionate and eager for this game called life,enthusiasm
i have mixed feelings about the play a beloved album in sequence concert trend because that idea of the band or artist curating a setlist is one of the things i enjoy most about going to show,love
i just feel so god damn discontent right now,happiness
i feel like i am regaining the energy i need for school and am excited for the possibilities,enthusiasm
i woke up this morning and my throat hurt so bad everytime i breathe in i can feel my throat aching,neutral
i was feeling playful that day and replied with a lighthearted bit of banter unwittingly replacing her question mark with a solid check mark my voice was just right for the funny yet informational for dummies series,fun
i know that if we work together we will be able to get through this labour and i will feel the joy once again of seeing my precious baby being placed in my arms,happiness
i have mixed feelings im really eager to go back and see everyone again and have fun and stuff,enthusiasm
u are one feisty angry little asian tonight aren't you RAWRRRR,anger
i am not very familiar with the show i must admit i left feeling incredibly surprised,surprise
"Whenever, whever, sarah's in dc all summer and sure!",surprise
i did feel slightly shaky although i noted later far less excited about the whole experience than i have felt about far less important events in my life,enthusiasm
i didn t care if something was laugh out loud funny i just wanted it to feel truthful,fun
i dont know if i feel excited for the second part,enthusiasm
i would like my students to be able to feel comfortable in writing each genre,relief
i feel no drama but of course i am surprised that finrosforum and eva biaudet together carried out such dirty attack against me,surprise
i feel like i know the neighbors who lancaster wrote about in bitter and in her later book bright lights big ass it would be fun to read about my sister through the eyes of the self proclaimed condescending egomaniacal self centered smart ass herself,fun
i realise this post may be a tad negative or bitter of course i wish i was playing premier league football week in week out but i just feel that these guys really punch above their weight and am so surprised that i don t seem to hear other people with the same viewpoint as me,surprise
i tend to feel very uptight always worrying about how i look saying the most clever intelligent things driving myself in this frenzied attempt at perfect with gingered comments to distract from my faux pas,sadness
i feel really creative when i do these things and when i don t get to do them i can feel bored or not as excited as i usually am,enthusiasm
i know but i go through these crazy rituals to feel comfortable,relief
i know that we are all sinners and fall short of the glory of god but my heart is aching and im feeling very heartbroken and angry right now,anger
"&quot;: congratulations, you win nothing.&quot; i win the satisfaction of being smarter than all of you.",surprise
i told my friend that if i didnt have to think of my future and how i would need to be responsible of my own survivability id probably been taking courses that make me feel happy,happiness
I stop biting my nails for like a week or two then get right back into the habit once I get really irritated again,happiness
"No , I'm scared of cats .",sadness
im feeling a little less jaded,neutral
i along with pepsi utmost when you re feeling eager may be beneficial too,enthusiasm
i really that cold hearted that i feel lost and alone when i have so much around me to fill my life with happiness and joy,happiness
Finished up cleaning my desk at least. . . office is looking empty. . .almost time to be in the car for 1 1/2! fb,relief
i was feeling a little uncertain about what was going on and i pulled a card from the deck and pulled final sunset,neutral
i don t know why but i feel like i m drowning in their longing their tenderness their unspoken affinity it s as if these two are meant to be together but they just can t be,neutral
i dislike touch it honestly feels funny to me,fun
i was feeling somewhat intimidated by the distance and exposure,neutral
i feel this way rather than you statements think you pissed me off and avoiding words like always and never think you never put the toilet seat down,empty
i scratched my head and cleaned my rain covered glasses before deciding that i was still feeling mellow and nice so i might as well walk forward instead of trying to find my way back,neutral
i am feeling sentimental for i love my wales the wonderful alexander cordell,love
